
pau	2	咆-
pau	3	
pau	5	
pau	6	菢鉋
pʰau	1	脟橐
pʰau	3	
pʰau	5	疱□
mau	1	□
mau	2	==
mau	2	□
mau	5	
mau	6	
mau	7	
tau	1	
tau	2	
tau	3	
tau	5	□
tau	6	
tʰau	1	
tʰau	3	
tʰau	5	
lau	1	□□
lau	2	□□□
lau	3	
lau	6	
tsau	1	㷮
tsau	2	
tsau	3	
tsau	5	
tsau	6	
tsʰau	1	
tsʰau	3	騲
tsʰau	5	
tsʰau	6	□
sau	1	颼
sau	2	□
sau	3	
sau	5	
sau	6	□
kau	1	
kau	2	
kau	3	□
kau	5	-
kʰau	1	-
kʰau	3	
kʰau	5	銬
ŋau	1	□
ŋau	2	-𠢕
ŋau	3	祅-
ŋau	5	澳□
ŋau	6	□□
xau	1	
xau	2	籇
xau	3	
xau	5	
xau	6	
piau	1	䅺
piau	2	
piau	3	裱
pʰiau	1	
pʰiau	3	
pʰiau	5	□
pʰiau	6	□
miau	1	
miau	2	-
miau	3	藐-
miau	5	
miau	6	
tiau	1	
tiau	2	
tiau	3	-
tiau	5	
tiau	6	□
tʰiau	1	
tʰiau	3	
tʰiau	5	趒
liau	1	
liau	2	嫽□
liau	3	
liau	5	==
liau	6	--□□
ʨiau	1	
ʨiau	2	□
ʨiau	3	侥□□
ʨiau	5	=
ʨiau	6	噍藠
ʨʰiau	1	=-
ʨʰiau	3	
ʨʰiau	5	
ȵiau	1	□
ȵiau	3	袅=
ȵiau	6	
ɕiau	1	逍侥□
ɕiau	3	
ɕiau	5	
iau	1	=
iau	2	
iau	3	=
iau	5	
iau	6	
məu	3	
fəu	3	
təu	1	莞
təu	2	
təu	3	睹
təu	5	犊=□
təu	6	--
təu	7	
tʰəu	1	
tʰəu	3	
tʰəu	5	
tʰəu	7	
ləu	1	□□
ləu	2	□
ləu	3	
ləu	5	
ləu	6	鸕
ləu	7	□
tsəu	1	
tsəu	2	雏
tsəu	3	
tsəu	5	
tsəu	7	=□
tsʰəu	1	
tsʰəu	1	
tsʰəu	5	
tsʰəu	7	□
səu	1	
səu	2	□
səu	3	
səu	5	==-
səu	6	--□
səu	7	=
kəu	1	
kəu	2	□
kəu	3	
kəu	5	□
kʰəu	1	□
kʰəu	3	
kʰəu	5	□
kʰəu	7	□
ŋəu	1	
ŋəu	3	
ŋəu	5	
xəu	1	□
xəu	2	
xəu	3	
xəu	5	=
xəu	6	-
tiəu	1	
liəu	1	
liəu	2	
liəu	3	
liəu	5	绺
liəu	6	
ʨiəu	1	
ʨiəu	2	梂
ʨiəu	3	□
ʨiəu	5	==□□□□
ʨiəu	6	--
ʨʰiəu	1	鳅□
ʨʰiəu	3	□
ʨʰiəu	7	-
ȵiəu	2	
ȵiəu	3	
ȵiəu	5	
ȵiəu	7	
ɕiəu	1	
ɕiəu	3	□
ɕiəu	5	
ɕiəu	7	=
iəu	1	
iəu	2	
iəu	3	
iəu	5	-=-
iəu	6	-
iəu	7	==
põ	1	
põ	2	
põ	5	
põ	6	
pʰõ	3	□
pʰõ	5	
mõ	2	
mõ	5	
mõ	6	
tõ	1	
tõ	2	糰
tõ	3	
tõ	5	
tõ	6	
lõ	2	-
lõ	3	
lõ	6	
tsõ	1	钻
tsõ	5	钻
tsʰõ	1	
tsʰõ	5	
sõ	1	
sõ	5	
kõ	1	
kõ	3	
kõ	5	
kʰõ	1	
kʰõ	3	
xõ	1	
xõ	3	
xõ	5	痪
xõ	6	
õ	2	
õ	3	
pɔ̃	1	
pɔ̃	2	
pɔ̃	3	
pɔ̃	5	
pɔ̃	6	□
pʰɔ̃	1	
pʰɔ̃	5	□髈□
pʰɔ̃	5	
pʰɔ̃	6	□
mɔ̃	1	□
mɔ̃	2	
mɔ̃	3	
tɔ̃	1	
tɔ̃	2	
tɔ̃	3	
tɔ̃	5	
tɔ̃	6	□
tʰɔ̃	1	
tʰɔ̃	3	
tʰɔ̃	5	
lɔ̃	1	□
lɔ̃	2	
lɔ̃	3	□□
lɔ̃	5	=
lɔ̃	6	-
tsɔ̃	1	赃
tsɔ̃	2	
tsɔ̃	3	
tsɔ̃	5	这=
tsɔ̃	6	--
tsʰɔ̃	1	猖
